,latitude,longitude,time,u100,v100,u10,v10,mdww,mpww,mwd,p140122,mwp,mp1,wmb,dwi,pp1d,swh,shww,p140121,p140124,p140127,10m_wind_direction,10m_wind_speed,100m_wind_direction,100m_wind_speed
0,35.89,126.42,2022-01-01 00:00:00,-3.483893702984941,-2.8347872316308877,-3.2478243078056277,-2.4034833010332313,48.87512432241178,1.9772990525088077,338.753605074898,314.14993030468906,3.8394068982711653,3.3411258844461735,13.0,49.93662646839272,4.578454128748119,0.4869302003803079,0.1655625813996897,0.3220298461718476,0.11974996137442206,0.001526142482604187,53.49749520494984 degree,4.040432490800793 meter / second,50.8653154259524 degree,4.4914957399863615 meter / second
1,35.89,126.42,2022-01-01 01:00:00,-3.171542020420556,-2.353478693138785,-3.0330536597877376,-2.0538310155641075,53.41041499964129,1.8507498665665663,338.47999681141533,313.26948980325807,3.7928863293015005,3.2885071326158544,13.0,52.08446051370585,4.547186745747855,0.44833593470543875,0.13723148668839968,0.29797355457782243,0.11938702325426695,0.001526142482604187,55.89612329678645 degree,3.663009192405185 meter / second,53.42231876329407 degree,3.9493721964828215 meter / second
2,35.89,126.42,2022-01-01 02:00:00,-3.048642861659929,-2.387991127100428,-2.9092377944003744,-2.1025618020435277,51.20316699450052,1.8696422805816402,338.48546897668496,312.2449772197748,3.7324623041666802,3.222665107385007,13.0,48.99729239742459,4.518859868985862,0.4162902639918986,0.1355908028168048,0.3004108888991281,0.0014615616190030711,0.0009761629443252873,54.14364055273351 degree,3.5894889156786767 meter / second,51.92852783920076 degree,3.872560512252896 meter / second
3,35.89,126.42,2022-01-01 03:00:00,-3.120095860939363,-2.4686756010918365,-2.935644021615689,-2.1907751965464195,51.356905661525275,1.9746601121384482,340.34053300309756,310.46275220475695,3.635335790482139,3.123188780932068,13.0,49.89817419648176,4.4905329922238675,0.39358240461210514,0.15472234867665213,0.2539033795324255,0.11944587808456239,0.0013434924514414415,53.267222527000726 degree,3.6629908249203877 meter / second,51.64832527743676 degree,3.978612497451478 meter / second
4,35.89,126.42,2022-01-01 04:00:00,-3.418565246500886,-2.296579815526347,-3.1727132615042892,-2.0349789594808283,54.008897667701845,2.0171230617342335,342.2722073432853,309.66768775194953,3.55033361771887,3.045056244324796,13.0,54.29821273943779,4.463186284207963,0.37311804535795223,0.157212672410323,0.23729780098564368,0.12280060341140153,0.0,57.32387890798397 degree,3.76925043015914 meter / second,56.10693646408225 degree,4.118357341667512 meter / second
5,35.89,126.42,2022-01-01 05:00:00,-3.547588948056894,-2.128681488145381,-3.2525187481994613,-1.8834511124718287,57.138577674990984,1.9796381132916263,344.7675147062473,309.11807943893507,3.4664516286276745,2.9718069912554785,13.0,57.13269449744692,4.435447508693623,0.3553822673376864,0.15275938761599406,0.2228917680458939,0.12573353578779015,0.0,59.92595609235658 degree,3.7584925569249648 meter / second,59.03472201644837 degree,4.13723001806139 meter / second
6,35.89,126.42,2022-01-01 06:00:00,-3.0988641125820453,-1.8064099764224713,-2.8223906471144518,-1.5971132795088128,54.541492335608936,1.768342955910339,344.9973456475728,308.2536469466211,3.4277723453625284,2.9469516267308333,13.0,57.04480359022183,4.40516029443945,0.3336445701743862,0.10834373137781861,0.2097143101298916,0.13800476790438598,0.0010979296317671083,60.49567156338527 degree,3.2429399921217366 meter / second,59.760958187339945 degree,3.5869312498523778 meter / second
7,35.89,126.42,2022-01-01 07:00:00,-2.9530999940519993,-1.8773003813166569,-2.6539775979856692,-1.6341059933326063,48.84767098901449,2.8550466052408945,343.60741566908075,307.0423742567736,3.408597436622907,2.937953216615951,13.0,54.155390015197014,4.372422658320052,0.31093671079459284,0.07131115256182019,0.1962792477734262,0.13470889740784225,0.0036002350586965687,58.37857908014203 degree,3.116712930004194 meter / second,57.555676343371296 degree,3.499293685383035 meter / second
8,35.89,126.42,2022-01-01 08:00:00,-2.8787888748013875,-2.1123580396500095,-2.3884483132094525,-1.6646961220715122,45.88820164878845,2.780016732438172,341.8399062869827,305.99118165809546,3.377891225376641,2.907665885009761,13.0,48.46994695407406,4.3377246847084745,0.29047235154043993,0.05549027237144111,0.18456815359544526,0.12579239061808556,0.002806722145534027,55.124348339795134 degree,2.9113396441695034 meter / second,53.730036633148806 degree,3.570641661292025 meter / second
9,35.89,126.42,2022-01-01 09:00:00,-2.6734125397296418,-2.1893114396996185,-2.2317713650652538,-1.8212037574798687,45.29520964740735,2.7469100259736616,339.77689998032326,304.9186450472613,3.35318129143383,2.8842370976984513,13.0,45.61898565096021,4.302144559225416,0.27109942477984184,0.04643721315139082,0.17384784572693812,0.11664046450714718,0.0025023054269294603,50.78434782772036 degree,2.880553167741227 meter / second,50.68526167716815 degree,3.455462224881544 meter / second
10,35.89,126.42,2022-01-01 10:00:00,-2.736291179095544,-2.6794812788034936,-2.1980300747345742,-2.2003790741737506,45.32815364748407,2.8046668345340304,340.45544847376027,303.30183612645175,3.311998068195812,2.83919017876968,13.0,42.58125616999308,4.260585404391211,0.25263602509720606,0.056896572832808134,0.16649621131064218,0.09491322298975327,0.00222833038018537,44.9694008136598 degree,3.110145379158249 meter / second,45.60099425680944 degree,3.8297401139312948 meter / second
11,35.89,126.42,2022-01-01 11:00:00,-2.464361478980668,-2.431364861673844,-2.0120128741289154,-2.0662804865624995,42.527913640962225,2.7073858963357766,338.6605782653139,302.5174436797223,3.2956565652149665,2.8277226927086403,13.0,40.39496985276898,4.236179202613576,0.23677993637139572,0.03884905024526453,0.15819342203725129,0.0867912564089848,0.0019523258886505607,44.23764148669217 degree,2.884044183921158 meter / second,45.38616093959363 degree,3.46187992132397 meter / second
12,35.89,126.42,2022-01-01 12:00:00,-2.553371500940192,-2.389390279828603,-2.1763182879130936,-2.029643471910089,44.83948431301263,2.7945309044751494,337.2542317910129,301.3381870081088,3.259678901394234,2.788107740861414,13.0,44.97628339187676,4.212263085208986,0.22368274644873787,0.03574347005974565,0.14087447734764835,0.09790501019643733,0.002563188770650371,46.99727057774245 degree,2.9758719584975792 meter / second,46.90014966445668 degree,3.4969832614916787 meter / second
13,35.89,126.42,2022-01-01 13:00:00,-2.1760996647447786,-1.9943628262406086,-1.8647248067723843,-1.6913735599252093,35.31317762415887,3.8649211042434826,334.6440089573881,300.196282357768,3.2518376156897153,2.7806456446685845,13.0,43.311849336301634,4.194227980280934,0.21079777951093792,3.3306690738754696e-16,0.13451362924082622,0.09131326920334987,0.0023196553957667287,47.790822280163894 degree,2.517527184402659 meter / second,47.49520771152834 degree,2.9517609716223236 meter / second
14,35.89,126.42,2022-01-01 14:00:00,-1.1369689037952893,-1.8763676128312068,-1.017084913160793,-1.6159653355920924,35.31317762415887,3.8649211042434826,329.9762519823736,297.82709700846283,3.28083060484928,2.8084639003286176,13.0,21.39405434704497,4.188346967804396,0.19845852881991533,3.3306690738754696e-16,0.1381795385858794,0.06775171880841524,0.0014652591388832764,32.18621805823955 degree,1.9093992998884655 meter / second,31.213409196820344 degree,2.1939584560057974 meter / second
15,35.89,126.42,2022-01-01 15:00:00,-0.35629384881084014,-1.752775788509107,-0.4487642229823051,-1.5270405427464353,35.31317762415887,3.8649211042434826,323.4862639725644,295.31383957710534,3.3322931606075077,2.8501089812871285,13.0,12.808211347494051,4.201481229001999,0.18915103505543385,3.3306690738754696e-16,0.13451362924082622,0.060179063977070735,0.00030441671860455266,16.376922767405375 degree,1.5916162059429528 meter / second,11.490193146237857 degree,1.7886218917043826 meter / second
16,35.89,126.42,2022-01-01 16:00:00,-0.0712984573991533,-1.0662581832180469,-0.3434327166456622,-0.9689485428470915,35.307686957479405,3.8649211042434826,314.91138099501717,291.3438533161075,3.4111013765957785,2.91117745968874,13.0,55.435301351662375,4.243040383836204,0.18299656849455526,3.3306690738754696e-16,0.12488318631274031,0.06970373734654678,0.001769675857487829,19.51628889151924 degree,1.0280113372663366 meter / second,3.8255541174527963 degree,1.068639313944115 meter / second
17,35.89,126.42,2022-01-01 17:00:00,-0.6363896059862232,0.20650441517821938,-1.020899145980783,0.3531852771821376,35.31317762415887,3.8649211042434826,302.67014728680203,285.50092998842933,3.4334391568800795,2.8791892090974196,13.0,109.38933202446408,4.332823840978026,0.18560387945138068,0.032169123053771176,0.12523986938415088,0.06835988538813464,0.0001826500311627316,109.08332307143996 degree,1.080266127527155 meter / second,107.9779199659892 degree,0.6690559050598079 meter / second
18,35.89,126.42,2022-01-01 18:00:00,-1.4705523347169915,1.8798910780751794,-1.6675583102313705,1.901543770210718,64.14466835797508,3.320639652856828,277.81557263203524,280.01018286132347,3.297369787301668,2.6775480068279496,13.0,138.21754959429336,4.515037210876112,0.2063107792596569,0.04869315347483372,0.12940117188394107,0.09057758382465705,0.012146227072321866,138.75086557336306 degree,2.5291538956830792 meter / second,141.9655625976259 degree,2.386737236180023 meter / second
19,35.89,126.42,2022-01-01 19:00:00,-1.4632028833625355,3.4590681239417083,-1.6038899623900011,3.158584641876926,78.60708439165855,3.182934946258067,255.28119605160163,275.0103480138034,3.20768920037856,2.6147237410868494,13.0,156.89986056132642,4.731262436263512,0.23559755117004466,0.06811767859746587,0.13891272045489012,0.11865133787557416,0.025633917151294483,153.0791067878954 degree,3.5424737051044133 meter / second,157.07139811991797 degree,3.7558108264328287 meter / second
20,35.89,126.42,2022-01-01 20:00:00,-0.3395534318368013,4.124132054067423,-0.6227519200787652,3.601430110248298,77.94271372344454,2.9630032567556026,248.86781835556758,268.3723602333178,3.300071406746082,2.6844614194771883,13.0,174.04957383362196,4.966208884701226,0.2610339917837251,0.09246425533488256,0.15573627198975615,0.11853362821498331,0.02661210954041046,170.1895430401794 degree,3.6548760297669274 meter / second,175.29326511658195 degree,4.1380867236512255 meter / second
21,35.89,126.42,2022-01-01 21:00:00,1.4002250249041701,4.363853554828024,0.8181478783035552,3.7764341025685515,36.94939629463633,3.090212177790434,246.76103472675092,262.18793271114515,3.4221714270021577,2.8097258724788756,13.0,190.84772347701718,5.068930569291433,0.3027206495236663,0.18094399269589156,0.1871045665476983,0.019412284859107287,0.016357325013018252,192.2239704331214 degree,3.8640419875844194 meter / second,197.78982176178812 degree,4.582995523492585 meter / second
22,35.89,126.42,2022-01-01 22:00:00,2.695769977553572,4.007069609143472,1.8365480412408457,3.478358196949909,14.086260241387293,3.1499481916285728,249.49164519630807,257.3588499608723,3.6688754074871808,3.0970165759028063,13.0,193.9898234103141,5.082652931736689,0.3470146182204328,0.1449661392259184,0.23474157230720116,0.09228437390322436,0.0007326295694416313,207.8337307960212 degree,3.933431638413741 meter / second,213.93083068715413 degree,4.829470221918798 meter / second
