,latitude,longitude,time,u100,v100,u10,v10,mdww,mpww,mwd,p140122,mwp,mp1,wmb,dwi,pp1d,swh,shww,p140121,p140124,p140127,10m_wind_direction(degree),10m_wind_speed(meter/second),100m_wind_direction(degree),100m_wind_speed(meter/second)
0,35.89,126.42,2021-01-01 00:00:00,-0.40555056463587347,-1.0957741420628788,-0.5259051285464116,-1.246209000812781,78.27941696464062,3.135931582186956,291.8432709496707,288.0057985640117,5.370542101193321,4.705196857343248,13.0,73.37047060983907,6.17704472432592,1.0957140837923127,0.2722674177383233,0.8173806312426802,0.14501288968469367,0.004882944753859697,22.8799372086811,1.352631907777651,20.30972265831562,1.1684144088850128
1,35.89,126.42,2021-01-01 01:00:00,-0.04853640348771959,0.0719514685297209,-0.27175079858128637,-0.11359551888897032,167.23346151246054,2.4865950486225357,290.3190447462838,286.77634030306115,5.352102252871784,4.6988055237904005,13.0,176.1370055771772,6.183386576307936,1.0762325024365773,0.30279437063625636,0.8032168948248163,0.14465157493409808,0.004700500554408182,67.31441105365094,0.29453766896820055,145.99752341542325,0.08679168328305503
2,35.89,126.42,2021-01-01 02:00:00,1.2519825318086928,0.42586830598672476,0.939843598103066,0.28816023423448955,194.81432288920632,2.6891768314941986,289.06347711831404,285.79811916500046,5.327045234099936,4.683626106602388,13.0,201.54175833103056,6.1854159689421815,1.0644142919458939,0.3458346240464054,0.7936885630527988,0.15124949646671332,0.004516006420131363,252.95422714495052,0.9830271153378187,251.2139988467832,1.322431122591308
3,35.89,126.42,2021-01-01 03:00:00,3.101050754400604,0.17992609690643402,2.67035067117651,0.0929768429320853,222.0491877970682,2.7324815109546545,288.16429331487717,285.00698950143226,5.280019209433052,4.636562650440512,13.0,222.75173453335077,6.183006065189015,1.06104425536066,0.42962331758607775,0.7907528067770961,0.16064367998219886,0.02148536690394772,268.0058688222523,2.6719688247385025,266.6793639013879,3.1062661157274563
4,35.89,126.42,2021-01-01 04:00:00,5.754657931692581,-0.5683980636488406,5.103801415956996,-0.5707252321203558,252.4639250141965,2.9035194176006263,287.42411152546265,284.3708784881578,5.199377958878582,4.559866647806342,13.0,253.91606922772544,6.174634820572753,1.0694462643813802,0.5179039651557764,0.8046847729626677,0.1070591315351736,0.02697714230092091,276.38051096197523,5.135612542248827,275.640912154926,5.782660656614054
5,35.89,126.42,2021-01-01 05:00:00,7.720292877834785,-1.4781842842304038,6.733741365194979,-1.3247536250793421,273.9871021817526,3.24839913100152,286.60717014307187,283.8363314181793,5.100473317881251,4.470460606856852,13.0,273.2647505989334,6.157131309102387,1.089804978546971,0.6368949106858581,0.8161702755851536,0.08850640455893882,0.023315958702938788,281.129870780352,6.8628161086028525,280.83909078315025,7.8605312096379505
6,35.89,126.42,2021-01-01 06:00:00,8.74470867185913,-1.6876350679796759,7.509202826878612,-1.4331452065671964,279.41320553504306,3.5002049380080895,285.8011944168205,283.8523678302787,5.000333471733195,4.372339111062569,13.0,279.5624059714577,6.128212464064391,1.1135337292977958,0.7150457435551916,0.8239732067389951,0.06359139610482506,0.012451304128859697,280.8050662416201,7.644738862662888,280.9231818970874,8.90606770007746
7,35.89,126.42,2021-01-01 07:00:00,8.860818271003343,-1.733624261547535,7.5728269256316585,-1.426076190383206,280.6159551649729,3.56399366548671,285.0774611116152,282.5854912744296,4.917486497695288,4.290922237054138,13.0,280.6934582877088,6.090668700330852,1.1246133016328113,0.7461227316404748,0.827887548439932,0.04675098685967377,0.005432327287039546,280.66475356157594,7.7059328407629994,281.07011479199866,9.028817946551635
8,35.89,126.42,2021-01-01 08:00:00,8.759793777259755,-1.5826597348356493,7.3703244177725,-1.2776268505194055,279.3747614829449,3.4134398068589036,284.34824497834023,281.6607248433668,4.864196218335441,4.250322743235482,13.0,278.92001218018885,6.051602892121629,1.117180755191405,0.7062910168232017,0.8635286597168841,0.03479618141605423,0.0055532734417321206,279.83434849417563,7.4802414661815355,280.24132884441326,8.901617766248378
9,35.89,126.42,2021-01-01 09:00:00,8.592486244634628,-1.802108169360543,7.127800299407395,-1.46024310193916,279.3967295127153,3.30689160271879,283.7835136871573,280.8054495314011,4.826875376995681,4.226427871202677,13.0,279.9796874085212,6.012537083912406,1.097006700564731,0.6637091260691779,0.8771258466780334,0.02599895270590058,0.0055532734417321206,281.57775160067746,7.2758399532282905,281.8450003718334,8.779431286724174
10,35.89,126.42,2021-01-01 10:00:00,7.0730047188260965,-2.629913653582009,5.7721965179110395,-2.118054330171609,287.61826465429004,2.787936424220561,284.227622760806,280.1212292818286,4.8257284007842935,4.244585068795994,13.0,288.5229757778741,5.836740946970903,1.0483489120601217,0.48073075374402885,0.8847742643436799,0.008907194069030622,0.005249883087588031,290.1501467843168,6.148528831106107,290.3963476267874,7.5461143363875225
11,35.89,126.42,2021-01-01 11:00:00,7.181800327473037,-2.344980606476794,5.812560193464048,-1.8078030643186926,288.37616168136907,2.7967375551181,284.56207527306,280.11053834042906,4.795289416712858,4.220908083134309,13.0,287.9629401649731,5.723982818730646,1.0027841708323706,0.4660631487480251,0.8530217425196323,0.011106501246568978,0.004944442798618637,287.27656422179615,6.087200335293957,288.082745712204,7.554944737616821
12,35.89,126.42,2021-01-01 12:00:00,6.811986682954655,-2.050049908595958,5.541302611145953,-1.5116898308337574,285.97615442895216,2.646651013175118,284.82525102040734,280.44730299451555,4.756733370222373,4.189024044160446,13.0,285.9863438841459,5.64927580238249,0.9584658814923089,0.4149098763244614,0.8243337382114497,0.004634254409813132,0.0028084107106581824,285.25921343857544,5.743800203083247,286.74903301390987,7.1137800919402805
