,latitude,longitude,time,u100,v100,u10,v10,mdww,mpww,mwd,p140122,mwp,mp1,wmb,dwi,pp1d,swh,shww,p140121,p140124,p140127,10m_wind_direction(degree),10m_wind_speed(meter/second),100m_wind_direction(degree),100m_wind_speed(meter/second)
3265,35.89,126.42,2021-11-14 01:00:00,4.917922811400635,2.214086388638638,3.8803336177241086,1.8984870999560801,228.39663034461148,2.0085134295795264,262.1500811697275,262.2761182343363,4.264809078541774,3.8091889842099764,13.0,228.08229646728142,4.897751708903346,0.6847402223446282,0.17534345433252674,0.6060752028677345,0.002811782252715278,0.002745694440205698,243.92940455780027,4.319865999488817,245.7623623117193,5.393342499345801
3266,35.89,126.42,2021-11-14 02:00:00,4.976270091431247,2.0694184458632496,4.076100116323021,1.8299822628533549,236.9636507517136,2.040718689195939,262.3916789239472,262.9964327531767,4.279160999046452,3.815350479181975,13.0,235.10670664272146,4.952445944536539,0.6663524922069715,0.18368179794888317,0.5914383888055446,0.00409510851164685,0.002745694440205698,245.82210368549525,4.468045125180187,247.41965776375707,5.389411538095065
3267,35.89,126.42,2021-11-14 03:00:00,5.673601125685991,1.6218216564709402,4.620978300224326,1.4362676496146145,247.3319421162064,2.166997207165558,262.4520783625021,263.71674727201696,4.276290614945516,3.79924073711977,13.0,247.40354353311255,4.993949217458196,0.6489138062054518,0.20595708732400708,0.5701831892543643,0.007382730837898477,0.0026847757046068454,252.7339910831081,4.839039699410782,254.04720273764988,5.900852075656828
3268,35.89,126.42,2021-11-14 04:00:00,5.896860509692013,1.397537798879566,4.754212642769974,1.2322587391218827,252.77419674661547,2.182111079003085,262.47953265275436,263.00734660952276,4.2563530821363145,3.7655450614916512,13.0,254.1588402616436,5.022100662269398,0.6334522954875511,0.21358071577324744,0.553212970051825,0.01165087210355853,0.002562938233409126,255.4691011018481,4.911313414232095,256.66706975108974,6.060204268014593
3269,35.89,126.42,2021-11-14 05:00:00,5.86606611189808,1.2538407818946165,4.685395847917388,1.1170802767403774,254.15810004314733,2.1281531440317263,262.44658750445166,263.4002454379811,4.234553678558937,3.7364705070925317,13.0,254.76846460055984,5.041082779342094,0.6187421113774257,0.2036144098317927,0.539551943593781,0.010136835505942632,0.0024411007622114067,256.59003085593565,4.816721145796573,257.93488091278766,5.998570524341709
3270,35.89,126.42,2021-11-14 06:00:00,5.65739354789971,1.2208293050196957,4.412014060146836,1.1008950679743488,255.89347084356035,1.9409953852959938,262.4301149303003,262.4671107203925,4.226097682153478,3.734159946478032,13.0,254.04350592725405,5.052021626468733,0.603478318187887,0.16378889246414685,0.536009410335251,0.009026542001024318,0.0023192632910136873,255.98952973034233,4.547289084457201,257.8226661241422,5.787618331214675
3271,35.89,126.42,2021-11-14 07:00:00,5.434944542783002,1.3014161456261202,4.010111408930129,1.1765515089504355,342.8761863743873,3.022272851803188,262.43560578835076,262.3034028752015,4.2195811344648675,3.7379466985962395,13.0,251.59402434926636,5.056043261441761,0.5894008301685196,0.11709416821255036,0.5274606624119719,0.008118120042454768,0.001953750877420543,253.64851110161723,4.179146679077576,256.53388064524364,5.5885871351552785
3272,35.89,126.42,2021-11-14 08:00:00,5.501395611706755,1.4101598341552712,3.853938134766952,1.237151941772077,342.4533270337804,3.0487574403035276,262.50149608495616,262.32523058789366,4.200962426783122,3.7244042461057005,13.0,249.0841295485032,5.054112876654708,0.5787636271426494,0.1233280727257311,0.5154966578741818,0.0056091451092627476,0.0018928321418216765,252.2028603215641,4.047639321090924,255.62304626854322,5.679252101674231
3273,35.89,126.42,2021-11-14 09:00:00,5.758285719619311,1.176652181554728,4.077357044082886,1.0188398235326224,342.31054336032867,3.12693994555653,262.7760389874785,262.4070845104891,4.163259543727587,3.6865367249236245,13.0,253.07140225168496,5.045747875910807,0.5733461668655333,0.1458416004898937,0.5067145694368677,0.0056091451092627476,0.0018319134062228237,255.9703620762796,4.202722338074253,258.4511296584543,5.877275285804569
3274,35.89,126.42,2021-11-14 10:00:00,5.061359874809223,0.06542761439746511,3.6129222368129144,0.20506258278486234,352.4372008159032,3.2235557244057684,263.28668878617015,262.5817062120262,4.160466737575326,3.7019404623536216,13.0,259.34339319801217,5.0335221055928,0.5626694203339907,0.10998672293956058,0.4984203748016267,0.0024368779523532558,0.001770994670623957,266.7514860660146,3.618737038265648,269.2593853286939,5.061782744750566
3275,35.89,126.42,2021-11-14 11:00:00,5.085671241488645,-0.9137510452601141,3.669798217946788,-0.5334346171906722,354.92493174181175,3.2573853721168686,264.1816986483931,262.98006196865754,4.134400546820882,3.675818290961918,13.0,270.20129696411453,5.014539988520104,0.5563820029320822,0.11506914190572082,0.4924383725327316,0.00464304556602213,0.001770994670623957,278.2704770567811,3.708365064453981,280.1857511364974,5.1671068257989985
3276,35.89,126.42,2021-11-14 12:00:00,4.823918860240205,-1.6021374306812581,3.5466192974800563,-1.0848609158472258,356.3747351953213,3.2333020529738934,265.2084891038268,263.558496354999,4.1084119340151135,3.6510439465953395,13.0,277.67056814362854,4.99153623647438,0.5497782374847947,0.11288529000619896,0.4865624341338524,0.0020763930481589865,0.001707900265896567,287.0081339814908,3.7088315744976628,288.37254626669676,5.0830146091636506
3277,35.89,126.42,2021-11-14 13:00:00,4.497741357291298,-1.8900169275463767,3.501684130064897,-1.3863574791399897,357.3467625107425,3.228782016536502,266.06506295969666,264.1860430948978,4.0913447853068465,3.6376940408226752,13.0,283.986495979247,4.965636907248073,0.5412368402595606,0.110423493319465,0.4802198147069034,0.0006056146390464034,0.0005482686203897302,291.5991888378005,3.766135792389295,292.7928605847544,4.878713078620264
